Date,Description,Amount
2024-07-02,Uber Business,28.50
2024-07-03,Lyft,19.75
2024-07-05,Delta Airlines,389.00
2024-07-06,Marriott Hotel,312.00
2024-07-08,Slack,87.50
2024-07-09,GitHub,21.00
2024-07-10,AWS,634.20
2024-07-11,Figma,45.00
2024-07-12,Chipotle,18.40
2024-07-14,Starbucks,12.80
2024-07-15,DoorDash,34.60
2024-07-16,Google Ads,1200.00
2024-07-18,Meta Ads,2800.00
2024-07-19,Staples,67.30
2024-07-20,Amazon Business,143.50
2024-07-22,Zoom,159.00
2024-07-23,Notion,48.00
2024-07-25,Client Dinner Nobu,285.00
2024-07-26,Parking Downtown,22.00
2024-07-28,Adobe Creative Cloud,89.99
2024-07-30,WeWork,750.00
